net,length_um
_09835_,491.11
_36967_,490.96
net266,490.07
_35982_,490.045
_11429_,489.93
_10940_,489.655
_37888_,489.405
_36490_,489.265
_36217_,489.25
_12960_,488.58
_37630_,488.36
_08896_,488.28
_37345_,488.27
_11113_,487.805
_17708_,487.63
_36884_,487.51
_36027_,487.49
_39092_,487.475
_36953_,487.25
_10770_,487.2
_36633_,487.12
net215,486.46
_37565_,485.435
net229,485.05
_36552_,484.86
_21024_,484.81
_09028_,484.71
_10792_,484.475
_36646_,484.04
_37192_,483.835
_37069_,483.68
net238,483.6
_35824_,483.41
_10914_,483.235
_37276_,482.815
_13026_,482.63
_38516_,481.66
_12596_,481.6
_08209_,481.095
_10158_,480.74
net205,480.52
_17493_,480.21
_17855_,479.14
_13170_,478.08
_38286_,477.84
_36352_,477.385
_32734_,477.085
_36206_,476.76
_09102_,476.49
_39494_,476.375
_11279_,476.23
_35940_,475.99
_39327_,475.65
_35624_,475.165
_36127_,475.09
_36140_,474.91
_36318_,474.82
net612,474.76
_19088_,474.52
_35975_,474.32
_40193_,474.195
_38895_,473.78
net219,473.48
_11544_,473.1
net155,472.88
_36699_,472.875
_39258_,472.605
_08204_,472.27
_36074_,472.27
_38969_,471.595
_36115_,471.51
_10402_,471.46
_10664_,471.43
_11563_,471.23
clknet_2_0_0_clk,470.91
_33572_,470.62
_32118_,470.565
_36261_,470.46
_37051_,470.41
_19247_,470.11
_28658_,470.1
_36673_,470.025
u_softmax.weights_flat\[22\],469.98
_36603_,469.415
_38879_,469.16
_17779_,468.99
_17890_,468.935
net194,468.86
_11881_,468.7
_36168_,468.58
_09017_,468.48
_35366_,467.97
_39732_,467.68
clknet_2_1_0_clk,467.56
_36353_,467.29
_12530_,467.22
net280,467.07
_12673_,467.06
u_softmax.weights_flat\[28\],466.62
_32633_,466.58
_19293_,466.51
_08897_,466.5
_33484_,466.07
net279,465.7
_12220_,465.66
_28733_,465.66
_26927_,465.545
_10465_,464.84
_11643_,464.59
_14591_,464.08
_36014_,463.59
_36423_,463.32
_38747_,463.15
_10115_,462.545
_33588_,461.83
_40160_,461.36
u_softmax.weights_flat\[25\],461.27
_08313_,460.985
_36479_,460.91
_17957_,460.81
_20439_,460.645
_43641_,460.62
_35206_,460.54
_35214_,460.47
_12310_,460.33
_28736_,460.14
_14644_,460.1
_35995_,460.01
_37413_,460.01
_35208_,459.955
_14783_,459.45
_14305_,459.42
net290,458.4
_11101_,458.35
_27482_,458.27
_29218_,458.11
_44270_,458.08
_19154_,457.88
_12060_,457.82
_36586_,457.74
_35017_,457.38
_39135_,457.12
_40130_,457.12
net832,457.005
_09020_,456.89
_14431_,456.78
_23307_,456.635
net190,456.62
_37578_,456.32
_17888_,456.295
_37103_,456.075
_13104_,456.06
_08367_,455.96
_38909_,455.93
_40203_,455.3
u_softmax.weights_flat\[29\],455.14
_10265_,454.97
_35533_,454.97
_28815_,454.61
_36332_,454.4
_10312_,453.97
_39150_,453.87
net254,453.78
_36172_,453.55
_36820_,453.375
_36765_,453.1
_32608_,452.7
_38932_,452.655
net171,452.38
_13080_,452.34
_35967_,452.34
_36207_,452.34
_09014_,452.245
_15997_,452.16
_17110_,451.965
_28657_,451.755
_08179_,451.57
_08353_,451.54
_39053_,451.39
_36658_,451.31
_09009_,450.75
_08517_,450.68
_18787_,450.08
_23308_,450.08
_36574_,449.965
_39724_,449.81
_10780_,449.735
_10681_,449.695
_39064_,449.695
_36869_,449.57
_39145_,449.4
_32660_,449.04
_36007_,448.94
_08318_,448.35
_28814_,448.295
_09900_,448.06
_39521_,448.04
_14226_,448.02
_34686_,447.87
_16011_,447.775
_37580_,447.745
_17784_,447.68
_36764_,447.63
_37215_,447.6
_36142_,447.55
_35082_,447.54
_38999_,447.24
_11884_,446.92
_19209_,446.87
_36149_,446.845
_36532_,446.615
_36543_,446.5
_32659_,446.195
_18631_,446.16
u_softmax.weights_flat\[24\],445.815
_23955_,445.7
_37444_,445.61
_33553_,445.2
_39104_,445.145
_40128_,444.84
_38911_,444.8
_36625_,444.315
_37371_,444.29
_08392_,444.23
_36701_,444.22
u_softmax.weights_flat\[19\],443.935
_17945_,443.76
u_softmax.weights_flat\[23\],443.705
_37062_,443.47
_39073_,443.335
net67,443.155
_36367_,442.87
_07551_,442.27
net82,441.89
_10515_,441.885
_11942_,441.87
_11910_,441.4
_37592_,440.88
_10111_,440.52
_35990_,440.28
_35974_,439.945
_36739_,439.92
_37655_,439.88
_37149_,439.78
_36710_,439.16
_35818_,439.14
_37579_,438.85
_36497_,438.6
_37043_,438.225
_39011_,438.1
net768,437.97
